title,date,type ,genre,
The Invisible Guest,2/26/21,tv,horror,
Good Girls: Season 3: Synergy,2/24/21,tv,comedy,
Good Girls: Season 3: Opportunity,2/24/21,tv,comedy,
Good Girls: Season 3: Incentive,2/24/21,tv,comedy,
Good Girls: Season 3: Nana,2/24/21,tv,comedy,
"Good Girls: Season 3: Vegas, Baby",2/24/21,tv,comedy,
Good Girls: Season 3: Frere Jacques,2/24/21,tv,comedy,
Good Girls: Season 3: Au Jus,2/24/21,tv,comedy,
Good Girls: Season 3: The Eye in Survivor,2/23/21,tv,comedy,
Good Girls: Season 3: Egg Roll,2/23/21,tv,comedy,
Good Girls: Season 3: Not Just Cards,2/23/21,tv,comedy,
Good Girls: Season 3: Find Your Beach,2/23/21,tv,comedy,
Marriage Story,2/22/21,movie,drama,
Hush,2/13/21,movie,horror,
Firefly Lane: Season 1: Hello Yellow Brick Road,2/12/21,tv,comedy,
The Help,2/7/21,movie,drama,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
